i32SetTemperatureValue, f32ActualTemperatureValue, f32AmbientTemperatureValue, i32ControllerOutput
4000, 2510, 10, 5000, 
4000, 2750, 10, 2980, 
4000, 2630, 10, 2500, 
4000, 2690, 10, 2740, 
4000, 2660, 10, 2620, 
4000, 2675, 10, 2680, 
4000, 2667.5, 10, 2650, 
4000, 2672, 10, 2666, 
4000, 2669, 10, 2656, 
4000, 2670.5, 10, 2662, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
4000, 2670.5, 10, 2660, 
